ubigeo,categoria,anio,observado,r_hat,r_ic_low,r_ic_high,r_scope,latente,latente_ic_low,latente_ic_high,factor_subrep,latente_rate_100k,inestable
150101,estafa,2018,373,0.012,0.0022,0.0298,panel,31083.3,12516.8,169545.5,83.3,11456.2,1
150101,estafa,2019,651,0.012,0.0022,0.0298,panel,54250.0,21845.6,295909.1,83.3,20109.8,1
150101,estafa,2020,817,0.012,0.0022,0.0298,panel,68083.3,27416.1,371363.6,83.3,25463.2,1
150101,estafa,2021,1064,0.012,0.0022,0.0298,panel,88666.7,35704.7,483636.4,83.3,33183.8,1
150101,estafa,2022,1356,0.012,0.0022,0.0298,panel,113000.0,45503.4,616363.6,83.3,42340.0,1
150101,estafa,2023,1484,0.012,0.0022,0.0298,panel,123666.7,49798.7,674545.5,83.3,46409.7,1
150101,estafa,2024,1743,0.012,0.0022,0.0298,panel,145250.0,58489.9,792272.7,83.3,54607.1,1
150101,extorsion,2018,47,0.2283,0.0291,0.5512,panel,205.9,85.3,1615.1,4.4,75.9,0
150101,extorsion,2019,83,0.2283,0.0291,0.5512,panel,363.6,150.6,2852.2,4.4,134.8,0
150101,extorsion,2020,78,0.2283,0.0291,0.5512,panel,341.7,141.5,2680.4,4.4,127.8,0
150101,extorsion,2021,117,0.2283,0.0291,0.5512,panel,512.5,212.3,4020.6,4.4,191.8,0
150101,extorsion,2022,644,0.2283,0.0291,0.5512,panel,2820.8,1168.4,22130.6,4.4,1056.9,0
150101,extorsion,2023,1105,0.2283,0.0291,0.5512,panel,4840.1,2004.7,37972.5,4.4,1816.4,0
150101,extorsion,2024,896,0.2283,0.0291,0.5512,panel,3924.7,1625.5,30790.4,4.4,1475.5,0
150101,robo_hurto_callejero,2018,11854,0.2058,0.171,0.2428,panel,57599.6,48822.1,69321.6,4.9,21229.1,0
150101,robo_hurto_callejero,2019,10618,0.2058,0.171,0.2428,panel,51593.8,43731.5,62093.6,4.9,19125.2,0
150101,robo_hurto_callejero,2020,6066,0.2058,0.171,0.2428,panel,29475.2,24983.5,35473.7,4.9,11023.8,0
150101,robo_hurto_callejero,2021,8345,0.2058,0.171,0.2428,panel,40549.1,34369.9,48801.2,4.9,15175.6,0
150101,robo_hurto_callejero,2022,10453,0.2058,0.171,0.2428,panel,50792.0,43051.9,61128.7,4.9,19031.3,0
150101,robo_hurto_callejero,2023,15800,0.2058,0.171,0.2428,panel,76773.6,65074.1,92397.7,4.9,28811.7,0
150101,robo_hurto_callejero,2024,16238,0.2058,0.171,0.2428,panel,78901.8,66878.1,94959.1,4.9,29663.4,0
150101,secuestro,2018,23,0.0856,0.0,0.4706,panel,268.7,48.9,,11.7,99.0,0
150101,secuestro,2019,18,0.0856,0.0,0.4706,panel,210.3,38.2,,11.7,77.9,0
150101,secuestro,2020,25,0.0856,0.0,0.4706,panel,292.1,53.1,,11.7,109.2,0
150101,secuestro,2021,31,0.0856,0.0,0.4706,panel,362.1,65.9,,11.7,135.5,0
150101,secuestro,2022,37,0.0856,0.0,0.4706,panel,432.2,78.6,,11.7,162.0,0
150101,secuestro,2023,40,0.0856,0.0,0.4706,panel,467.3,85.0,,11.7,175.4,0
150101,secuestro,2024,49,0.0856,0.0,0.4706,panel,572.4,104.1,,11.7,215.2,0
150101,violencia_familiar_sexual,2018,5701,0.0974,0.0575,0.1463,panel,58531.8,38967.9,99147.8,10.3,21572.7,0
150101,violencia_familiar_sexual,2019,5596,0.0974,0.0575,0.1463,panel,57453.8,38250.2,97321.7,10.3,21297.4,0
150101,violencia_familiar_sexual,2020,5773,0.0974,0.0575,0.1463,panel,59271.0,39460.0,100400.0,10.3,22167.4,0
150101,violencia_familiar_sexual,2021,7556,0.0974,0.0575,0.1463,panel,77577.0,51647.3,131408.7,10.3,29033.4,0
150101,violencia_familiar_sexual,2022,6995,0.0974,0.0575,0.1463,panel,71817.2,47812.7,121652.2,10.3,26909.2,0
150101,violencia_familiar_sexual,2023,5970,0.0974,0.0575,0.1463,panel,61293.6,40806.6,103826.1,10.3,23002.3,0
150101,violencia_familiar_sexual,2024,5333,0.0974,0.0575,0.1463,panel,54753.6,36452.5,92747.8,10.3,20584.8,0
150102,estafa,2018,8,0.0132,0.0008,0.0421,panel,606.1,190.0,10000.0,75.8,862.2,1
150102,estafa,2019,10,0.0132,0.0008,0.0421,panel,757.6,237.5,12500.0,75.8,992.1,1
150102,estafa,2020,7,0.0132,0.0008,0.0421,panel,530.3,166.3,8750.0,75.8,641.4,1
150102,estafa,2021,21,0.0132,0.0008,0.0421,panel,1590.9,498.8,26250.0,75.8,1826.7,1
150102,estafa,2022,32,0.0132,0.0008,0.0421,panel,2424.2,760.1,40000.0,75.8,2650.1,1
150102,estafa,2023,43,0.0132,0.0008,0.0421,panel,3257.6,1021.4,53750.0,75.8,3398.9,1
150102,estafa,2024,58,0.0132,0.0008,0.0421,panel,4393.9,1377.7,72500.0,75.8,4385.4,1
150102,extorsion,2018,1,0.1833,0.0042,0.5811,panel,5.5,1.7,238.1,5.5,7.8,0
150102,extorsion,2019,3,0.1833,0.0042,0.5811,panel,16.4,5.2,714.3,5.5,21.4,0
150102,extorsion,2020,1,0.1833,0.0042,0.5811,panel,5.5,1.7,238.1,5.5,6.6,0
150102,extorsion,2021,7,0.1833,0.0042,0.5811,panel,38.2,12.0,1666.7,5.5,43.8,0
150102,extorsion,2022,36,0.1833,0.0042,0.5811,panel,196.4,62.0,8571.4,5.5,214.7,0
150102,extorsion,2023,77,0.1833,0.0042,0.5811,panel,420.1,132.5,18333.3,5.5,438.3,0
150102,extorsion,2024,52,0.1833,0.0042,0.5811,panel,283.7,89.5,12381.0,5.5,283.1,0
150102,robo_hurto_callejero,2018,402,0.2232,0.1535,0.3018,panel,1801.1,1332.0,2618.9,4.5,2562.2,0
150102,robo_hurto_callejero,2019,453,0.2232,0.1535,0.3018,panel,2029.6,1501.0,2951.1,4.5,2658.0,0
150102,robo_hurto_callejero,2020,440,0.2232,0.1535,0.3018,panel,1971.3,1457.9,2866.4,4.5,2384.4,0
