s2_paper_id	doi	title	year	venue	citation_count
6c5aa360664dc16847d77d86b3ebd3dc7d5eda62	10.1177/1403494812459609	Violence	2012	Scandinavian Journal of Public Health	1161
1609c3ab3d61703f7684473e780883fb9f3ee3a2	10.1177/0003122416663494	Police Violence and Citizen Crime Reporting in the Black Community	2016		449
a4b5fb7856406018f93d1aaed9ddfe6b7d9d6d0e	10.5860/choice.50-4777	Crime in the United States, 2016	2016		371
103d22a4091168dd26f2dbde5c7ac0e68889e236	10.1016/j.cose.2013.04.007	Botnet detection based on traffic behavior analysis and flow intervals	2013	Computers & security	356
5dedee44c403232db55b37d4ff23e51be4734048	10.1086/653101	Rape and Attrition in the Legal Process: A Comparative Analysis of Five Countries	2010	Crime and justice	346
1195797387f8c93cfa5a3a0f0a150eb8ed6d4cef	10.1093/bjc/azq011	Reporting Crime to the Police	2010		345
5944f0967dafd40b6a1a076e16d3f52bd824d631	10.1017/s0003055412000299	Crime Victimization and Political Participation	2012	American Political Science Review	335
b6995dd95cb9387a17b2fe2dbbc655c4719ab8e2	10.1037/a0020796	Predictive Validity of Callous-unemotional Traits Measured in Early Adolescence with Respect to Multiple Antisocial Outcomes	2010	Journal of Abnormal Psychology	315
8557d4d9c8d75724404be83409c8984aee25b805	10.1111/ecpo.12037	What Do Corruption Indices Measure	2014		312
9583e67aa5b0ac9261da4c89638e934ec0d034b6	10.1093/acrefore/9780190264079.013.316	Crime Prevention through Environmental Design (CPTED) and Secured by Design (SBD): What Works	2017		301
6c719905f4746b18b8931083f03e1ab590e01c89	10.1001/jama.2015.8371	Violence in the United States	2015	Journal of the American Medical Association (JAMA)	268
a7618174b278e229f386e9e7efbad2ae199a1543	10.1111/j.1540-6237.2010.00706.x	Is Immigration Responsible for the Crime Drop? An Assessment of the Influence of Immigration on Changes in Violent Crime Between 1990 and 2000	2010		254
599ceef4fcb1f2dc55c8cac024ce3d52d70029b1	10.1007/s11292-010-9120-6	A randomized controlled trial of different policing strategies at hot spots of violent crime	2011		250
9ca94c89019817ca7524b689fb480c95cf6214c7	10.1001/archpediatrics.2009.283	Trends in childhood violence and abuse exposure: evidence from 2 national surveys.	2010	Archives of Pediatrics & Adolescent Medicine	248
1cf08a32cf2aacb7a7f25067e0825414381298e2	10.1177/1557085110376343	Too Ashamed to Report: Deconstructing the Shame of Sexual Victimization	2010		241
c907ba04ca123056d4e67266612900bdf6c20cef		Female victims of sexual violence, 1994-2010	2013		234
06cf6b26c021ed0fa6a5b44b20fecb0788295dd7	10.1111/j.1745-9125.2010.00182.x	Reporting crime to the police, 1973–2005: a multivariate analysis of long‐term trends in the National Crime Survey (NCS) and National Crime Victimization Survey (NCVS)	2010		224
f24bc29c03abe648f8c76f8c7c18aed273030d33	10.4073/csr.2012.8	Hot spots policing effects on crime	2012		222
197cc871ae7425d6432557f4bdf3d8c870b9bcd6	10.1177/1077801212440020	The Criminal Justice System’s Response to Sexual Violence	2012	Violence against Women	222
47f15b8dcc3c165d8d8c28b926b8a79b0ce10ce9	10.1177/0190272509360763	Estimating Risk: Stereotype Amplification and the Perceived Risk of Criminal Victimization	2010	Social psychology quarterly	212
0e840657e841e77e6063bfad386855ffdc10dd25	10.1111/j.1360-0443.2010.03333.x	A longitudinal analysis of alcohol outlet density and domestic violence.	2011	Addiction	208
4e56fe6410dba8e2c215035c43eae83cc8c976a2	10.1177/1362480612439432	Reconceptualizing hate crime victimization through the lens of vulnerability and ‘difference’	2012		197
ff01e4aa828d2e6873ec16d8f0583d01dc66e806	10.3233/sji-140803	The System of social statistical datasets of Statistics Netherlands: An integral approach to the production of register-based social statistics	2014	Statistical Journal of the IAOS	196
34d3debdb6c99d813b74c82287b20dacfdada4ea		Handbook of child well-being : theories, methods and policies in global perspective	2014		190
9ba03ccbd1ca9b8c4b0175afaed59c6888870ccd	10.2139/ssrn.2335990	Do Female Officers Improve Law Enforcement Quality? Effects on Crime Reporting and Domestic Violence	2018	The Review of Economic Studies	189
1056b7ce98f433d2fdfc815ecc7371266d140247		World wildlife crime report 2016: trafficking in protected species	2016		188
fe68959479ed517480e550634e89da0c3804fcc6	10.4324/9780203083505.ch15	Media and Crime: A Comparative Analysis of Crime News in the UK, Norway and Italy	2015		187
953221446c50f250ba96e76d38253d22a3c24c35		Contacts between Police and the Public, 2008	2012		184
dea8b3ef0c47c75765d758f8cef3b891beded0f1	10.1891/0886-6708.32.1.78	Reliability and Validity of the Sexual Experiences Survey–Short Forms Victimization and Perpetration	2017	Violence and Victims	183
2dfeb032c5aceaa8805a0e86a8eda1d887309236	10.2139/ssrn.1881507	Broadband Internet: An Information Superhighway to Sex Crime?	2013	Social Science Research Network	182
4b23c5ec7f80ca22a11c77b7814202e247555e02	10.1177/0093854816658923	The Proportion of Sexual Offenders Who Are Female Is Higher Than Thought	2017		180
1538809ea62cb73bebe7fe03cfe2ac2a4582b9c9	10.1016/j.jpubeco.2020.104344	COVID and crime: An early empirical look	2020	Journal of Public Economics	180
f91b2c06c889d854dc788ca88452b7920e459803	10.1089/cyber.2011.0352	The Online Romance Scam: A Serious Cybercrime	2012	Cyberpsychology, Behavior, and Social Networking	178
af1fc3695ba0fb2850e6828602b48d37efb45d78	10.1177/1077559509349444	The Effects of Adolescent Victimization on Self-Concept and Depressive Symptoms	2010	Child Maltreatment	172
ab069751fe2437d0d13ec0cfd6a080840d4b7e2b	10.1080/1068316x.2013.772180	The online dating romance scam: causes and consequences of victimhood	2014		172
96fb800afd06463d100d709733862640ff5f2c9c	10.1177/1541204012438926	The Impact of Bullying Victimization on School Avoidance	2012		171
d6bd8920e9c1bd3699c4e6098a8948631306923e	10.1002/cl2.1046	Hot spots policing of small geographic areas effects on crime	2019	Campbell Systematic Reviews	167
e71b3458c95b026a21e5b6f3e6c2bdca43e24017	10.1177/0044118x11407525	Predicting Online Harassment Victimization Among a Juvenile Population	2012		164
28dbca410f84337f6f199a4faac99fba0b22e7e2	10.1002/9781118517390.wbetc016	Uniform Crime Reports	2014		163
2a341ddd6b8595d06469fab8a6b448eda280294f	10.1007/s10940-015-9276-3	Where the Action is in Crime? An Examination of Variability of Crime Across Different Spatial Units in The Hague, 2001–2009	2016		161
cc39bcad66366a799dbc746083e3fbd29f480f4b	10.1177/0003122410386688	NEIGHBORHOOD CONTEXT AND THE GENDER GAP IN ADOLESCENT VIOLENT CRIME	2010	American Sociological Review	157
e1ea87596a1d1b43021be8eb2f5761253f960f51	10.1177/0002716211431818	The Paradox of Law Enforcement in Immigrant Communities	2012		154
52c6d41e335675ed89c5c6070f017e2d83466fc3	10.1111/juaf.12102	Neighborhood Disinvestment, Abandonment, and Crime Dynamics	2015		154
44936da478d0a85e53dd1e55925a0449831d5987	10.1080/15564886.2013.872744	Victim Willingness to Report Crime to Police: Does Procedural Justice or Outcome Matter Most?	2014		153
18cc813e0427717a450bf65539d8bc3f365914d7	10.1093/esr/jcr053	‘Bought it, but Never Got it’ Assessing Risk Factors for Online Consumer Fraud Victimization	2013		153
7437c70cce263a8189e8be0aa4ff68db5d531417	10.4135/9781483340470.n187	National Crime Victimization Survey	2014		152
bc7815c2cab7b05be56ffc5eac9c0e6da9eed57f	10.1080/07418825.2012.723030	Protection Against Pursuit: A Conceptual and Empirical Comparison of Cyberstalking and Stalking Victimization Among a National Sample	2014		149
dd3cd5db5c521998d0928adefde4cd0d3a7bd840	10.1177/0044118x10366674	Predicting Perceptions of Fear at School and Going to and From School for African American and White Students: The Effects of School Security Measures	2011		146
099725275d79550e8b7fcf9e6ddcefeb1ed1e4f1	10.1007/s11524-014-9865-8	Effects of the Repeal of Missouri’s Handgun Purchaser Licensing Law on Homicides	2014	Journal of urban health	144
691dd90e6714a2d4db1512f3b3df7e5bba119a43	10.1007/s10612-013-9203-6	Intersectional Criminology: Interrogating Identity and Power in Criminological Research and Theory	2013		143
53a0be37b1e2d297c9472c7768b6b3f753580335	10.1002/jts.20508	The Impact of Crime Victimization on Quality of Life	2010	Journal of Traumatic Stress	139
554577c054499ccc18f3653c771bd9ed73c1e7d3	10.3368/jhr.49.1.110	Crime and Mental Well-Being	2014	The Journal of human resources	137
3d2528ed39f1c241538450335f7edc3c19c81df3	10.1016/j.chiabu.2009.07.004	Psychological distress as a risk factor for re-victimization in children.	2010	International Journal of Child Abuse & Neglect	134
