seed,section,modality,metric,value,crime_cat,group
42,modal_mean,SV,received_weight,0.34451180696487427,,
42,modal_mean,estatico,received_weight,0.45715638995170593,,
42,modal_mean,temporal,received_weight,0.1983318328857422,,
42,oracle_corr,SV,spearman_weight_vs_obs_2019_2022,-0.19751425619177948,robo_hurto_callejero,
42,oracle_corr,estatico,spearman_weight_vs_obs_2019_2022,0.715946447178506,robo_hurto_callejero,
42,oracle_corr,temporal,spearman_weight_vs_obs_2019_2022,-0.6768438271191428,robo_hurto_callejero,
42,oracle_corr,SV,spearman_weight_vs_obs_2019_2022,-0.3041013594428682,extorsion,
42,oracle_corr,estatico,spearman_weight_vs_obs_2019_2022,0.5557369962847258,extorsion,
42,oracle_corr,temporal,spearman_weight_vs_obs_2019_2022,-0.4866473981436254,extorsion,
42,oracle_corr,SV,spearman_weight_vs_obs_2019_2022,-0.29173375849328503,estafa,
42,oracle_corr,estatico,spearman_weight_vs_obs_2019_2022,0.6210715075242778,estafa,
42,oracle_corr,temporal,spearman_weight_vs_obs_2019_2022,-0.5515083241365333,estafa,
42,oracle_corr,SV,spearman_weight_vs_obs_2019_2022,-0.17401426408272802,violencia_familiar_sexual,
42,oracle_corr,estatico,spearman_weight_vs_obs_2019_2022,0.7258141293522791,violencia_familiar_sexual,
42,oracle_corr,temporal,spearman_weight_vs_obs_2019_2022,-0.6998998321082923,violencia_familiar_sexual,
42,oracle_corr,SV,spearman_weight_vs_obs_2019_2022,-0.2732661384334666,secuestro,
42,oracle_corr,estatico,spearman_weight_vs_obs_2019_2022,0.42212533706385436,secuestro,
42,oracle_corr,temporal,spearman_weight_vs_obs_2019_2022,-0.3619645076150558,secuestro,
42,secuestro_district,SV,mean_weight,0.3400791585445404,,alto_secuestro
42,secuestro_district,SV,mean_weight,0.3465816080570221,,bajo_secuestro
42,secuestro_district,SV,delta_weight,-0.0065024495124816895,,alto_menos_bajo
42,secuestro_district,estatico,mean_weight,0.5036308765411377,,alto_secuestro
42,secuestro_district,estatico,mean_weight,0.43545520305633545,,bajo_secuestro
42,secuestro_district,estatico,delta_weight,0.06817567348480225,,alto_menos_bajo
42,secuestro_district,temporal,mean_weight,0.1562899649143219,,alto_secuestro
42,secuestro_district,temporal,mean_weight,0.21796318888664246,,bajo_secuestro
42,secuestro_district,temporal,delta_weight,-0.06167322397232056,,alto_menos_bajo
42,sv_available,SV,mean_weight,0.3035411834716797,,sv_available_1
42,sv_available,SV,mean_weight,0.35359370708465576,,sv_available_0
42,sv_available,SV,delta_weight,-0.050052523612976074,,sv1_menos_sv0
42,sv_available,estatico,mean_weight,0.5798167586326599,,sv_available_1
42,sv_available,estatico,mean_weight,0.42996636033058167,,sv_available_0
42,sv_available,estatico,delta_weight,0.14985039830207825,,sv1_menos_sv0
42,sv_available,temporal,mean_weight,0.1166420727968216,,sv_available_1
42,sv_available,temporal,mean_weight,0.21643991768360138,,sv_available_0
42,sv_available,temporal,delta_weight,-0.09979784488677979,,sv1_menos_sv0
7,modal_mean,SV,received_weight,0.2103355973958969,,
7,modal_mean,estatico,received_weight,0.6129748225212097,,
7,modal_mean,temporal,received_weight,0.17668955028057098,,
7,oracle_corr,SV,spearman_weight_vs_obs_2019_2022,0.6604835166528704,robo_hurto_callejero,
7,oracle_corr,estatico,spearman_weight_vs_obs_2019_2022,-0.19559730916007265,robo_hurto_callejero,
7,oracle_corr,temporal,spearman_weight_vs_obs_2019_2022,-0.6332514870558092,robo_hurto_callejero,
7,oracle_corr,SV,spearman_weight_vs_obs_2019_2022,0.49802034650064736,extorsion,
7,oracle_corr,estatico,spearman_weight_vs_obs_2019_2022,-0.1212175184689465,extorsion,
7,oracle_corr,temporal,spearman_weight_vs_obs_2019_2022,-0.49170804849614014,extorsion,
7,oracle_corr,SV,spearman_weight_vs_obs_2019_2022,0.5668681056479682,estafa,
7,oracle_corr,estatico,spearman_weight_vs_obs_2019_2022,-0.1391949371028453,estafa,
7,oracle_corr,temporal,spearman_weight_vs_obs_2019_2022,-0.567558745607087,estafa,
7,oracle_corr,SV,spearman_weight_vs_obs_2019_2022,0.6592074449561035,violencia_familiar_sexual,
7,oracle_corr,estatico,spearman_weight_vs_obs_2019_2022,-0.19561298670221783,violencia_familiar_sexual,
7,oracle_corr,temporal,spearman_weight_vs_obs_2019_2022,-0.6362582123984853,violencia_familiar_sexual,
7,oracle_corr,SV,spearman_weight_vs_obs_2019_2022,0.38444467024950846,secuestro,
7,oracle_corr,estatico,spearman_weight_vs_obs_2019_2022,-0.09807359555916345,secuestro,
7,oracle_corr,temporal,spearman_weight_vs_obs_2019_2022,-0.3639960945213424,secuestro,
7,secuestro_district,SV,mean_weight,0.23013955354690552,,alto_secuestro
7,secuestro_district,SV,mean_weight,0.20108817517757416,,bajo_secuestro
7,secuestro_district,SV,delta_weight,0.02905137836933136,,alto_menos_bajo
7,secuestro_district,estatico,mean_weight,0.6267211437225342,,alto_secuestro
7,secuestro_district,estatico,mean_weight,0.6065561175346375,,bajo_secuestro
7,secuestro_district,estatico,delta_weight,0.02016502618789673,,alto_menos_bajo
7,secuestro_district,temporal,mean_weight,0.14313934743404388,,alto_secuestro
7,secuestro_district,temporal,mean_weight,0.19235575199127197,,bajo_secuestro
7,secuestro_district,temporal,delta_weight,-0.04921640455722809,,alto_menos_bajo
7,sv_available,SV,mean_weight,0.3014473021030426,,sv_available_1
7,sv_available,SV,mean_weight,0.19013895094394684,,sv_available_0
7,sv_available,SV,delta_weight,0.11130835115909576,,sv1_menos_sv0
